현재가,거래량,체결시간,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
+81300,1978122,20240626150000,+81100,+81300,+81000,,,,,,,
+81100,2339346,20240626140000,+81100,+81400,+81000,,,,,,,
+81100,1898495,20240626130000,+80900,+81100,80800,,,,,,,
+80900,756281,20240626120000,-80700,+80900,-80500,,,,,,,
-80700,921397,20240626110000,-80700,+80900,-80500,,,,,,,
-80600,1319588,20240626100000,-80500,-80700,-80300,,,,,,,
-80600,6441252,20240626090000,-80100,+81000,-79900,,,,,,,
+80800,3399262,20240625150000,+80900,+81000,-80400,,,,,,,
+80900,2639432,20240625140000,+81500,+81600,+80700,,,,,,,
+81500,1094778,20240625130000,+81500,+81600,+81300,,,,,,,
+81500,1609364,20240625120000,+81500,+81800,+81400,,,,,,,
+81500,2021213,20240625110000,+81100,+81600,+81100,,,,,,,
+81100,2428750,20240625100000,-80400,+81300,-80400,,,,,,,
-80400,4214364,20240625090000,80600,+80900,-80100,,,,,,,
+80600,1959003,20240624150000,+80700,+80800,+80400,,,,,,,
+80700,2060545,20240624140000,+80200,+80900,+80200,,,,,,,
+80200,1469970,20240624130000,+80100,+80400,80000,,,,,,,
80000,1021003,20240624120000,-79800,+80200,-79800,,,,,,,
-79800,932540,20240624110000,-79800,80000,-79700,,,,,,,
-79800,2260136,20240624100000,+80200,+80400,-79700,,,,,,,
+80300,3879338,20240624090000,-79700,+80400,-79500,,,,,,,
-80000,3973840,20240621150000,-80400,-80600,-80000,,,,,,,
-80500,1258108,20240621140000,-80300,-80600,-80200,,,,,,,
-80300,1030897,20240621130000,-80500,-80600,-80300,,,,,,,
-80500,1508362,20240621120000,-80200,-80600,-80200,,,,,,,
-80300,1140883,20240621110000,-80000,-80400,-80000,,,,,,,
-80000,1887640,20240621100000,-80300,-80400,-80000,,,,,,,
-80300,6117209,20240621090000,-80700,-80800,-80000,,,,,,,
+81600,2457677,20240620150000,+81900,+82000,+81600,,,,,,,
+81900,2360281,20240620140000,+82000,+82100,+81800,,,,,,,
+82100,2480820,20240620130000,+81800,+82100,+81600,,,,,,,
+81900,1126092,20240620120000,+81500,+81900,+81500,,,,,,,
+81500,1503138,20240620110000,+81600,+81600,+81300,,,,,,,
+81600,4778711,20240620100000,+81400,+82200,81200,,,,,,,
+81500,5082836,20240620090000,+81500,+82000,81200,,,,,,,
+81200,2404200,20240619150000,+81200,+81400,+81100,,,,,,,
+81100,2263012,20240619140000,+80900,+81300,+80800,,,,,,,
+80900,1452054,20240619130000,+81000,+81200,+80800,,,,,,,
+81000,2047650,20240619120000,+80900,+81200,+80500,,,,,,,
+80900,1753619,20240619110000,+81400,+81400,+80700,,,,,,,
+81400,2768461,20240619100000,+81400,+81500,+80800,,,,,,,
+81400,11072047,20240619090000,+81100,+82500,+81000,,,,,,,
+79800,1755588,20240618150000,+79900,+79900,+79700,,,,,,,
+79900,1949264,20240618140000,+79800,+80000,+79700,,,,,,,
+79900,886332,20240618130000,+79800,+79900,+79800,,,,,,,
+79800,890933,20240618120000,+79800,+79900,+79700,,,,,,,
+79900,1654098,20240618110000,+80100,+80100,+79700,,,,,,,
+80000,3566265,20240618100000,+79800,+80100,+79600,,,,,,,
+79900,7256553,20240618090000,+78700,+80200,+78600,,,,,,,
-78100,1976638,20240617150000,-78100,-78400,-78000,,,,,,,
-78100,2541284,20240617140000,-78500,-78600,-78000,,,,,,,
-78500,1815719,20240617130000,-79200,-79400,-78400,,,,,,,
-79300,2299807,20240617120000,-78400,-79500,-78200,,,,,,,
-78300,1083245,20240617110000,-78500,-78700,-78300,,,,,,,
-78500,1995965,20240617100000,-78800,-79100,-78400,,,,,,,
-78900,4334979,20240617090000,-79200,-79500,-78500,,,,,,,
+79600,2829574,20240614150000,+79800,+80000,+79600,,,,,,,
+79800,1862269,20240614140000,+79800,+79900,+79500,,,,,,,
+79800,1297851,20240614130000,+79900,+80000,+79800,,,,,,,
+80000,1154675,20240614120000,+80000,+80000,+79800,,,,,,,
+80000,1142192,20240614110000,+80000,+80000,+79800,,,,,,,
+79900,4101117,20240614100000,+80400,+80400,+79400,,,,,,,
+80300,10413254,20240614090000,+79700,+80500,+79000,,,,,,,
+78600,8324640,20240613150000,+78700,+79000,+78600,,,,,,,
+78700,3462556,20240613140000,+78800,+78800,+78500,,,,,,,
+78800,3264887,20240613130000,+78500,+78800,+78400,,,,,,,
+78400,1665398,20240613120000,+78400,+78500,+78200,,,,,,,
+78400,2873931,20240613110000,+78500,+78600,+78200,,,,,,,
+78400,4037095,20240613100000,+78300,+78500,+78200,,,,,,,
+78300,9691415,20240613090000,+78400,+78400,+77800,,,,,,,
+76500,2591215,20240612150000,+76700,+76700,+76200,,,,,,,
+76600,4810583,20240612140000,+75300,+77100,+75300,,,,,,,
+75400,1289435,20240612130000,+75400,+75600,+75300,,,,,,,
+75500,888718,20240612120000,+75500,+75500,+75300,,,,,,,
+75400,876074,20240612110000,+75500,+75700,+75400,,,,,,,
+75600,1776880,20240612100000,+75600,+75800,+75400,,,,,,,
+75700,4470819,20240612090000,+75300,+76100,75200,,,,,,,
-75200,2332577,20240611150000,-75500,-75600,-75200,,,,,,,
-75500,3000858,20240611140000,-75300,+76000,-75300,,,,,,,
-75300,2074324,20240611130000,-75200,-75500,-75100,,,,,,,
-75300,1439893,20240611120000,-75400,-75400,-75200,,,,,,,
-75400,1432139,20240611110000,-75400,-75500,-75300,,,,,,,
-75400,2014703,20240611100000,-75500,-75600,-75300,,,,,,,
-75400,4355287,20240611090000,+75900,+76000,-75300,,,,,,,
-75700,1952255,20240610150000,-76400,-76400,-75700,,,,,,,
-76400,1666212,20240610140000,-76300,-76600,-76200,,,,,,,
-76300,1602737,20240610130000,-75800,-76400,-75800,,,,,,,
-75800,629135,20240610120000,-75900,-75900,-75800,,,,,,,
-75900,1034249,20240610110000,-75900,-75900,-75700,,,,,,,
-75900,1646077,20240610100000,-75700,-75900,-75600,,,,,,,
-75800,5771830,20240610090000,-76100,-76600,-75700,,,,,,,
-77300,1913661,20240607150000,-77300,+77500,-77200,,,,,,,
-77300,1558273,20240607140000,77400,+77500,-77200,,,,,,,
-77300,1985222,20240607130000,-77300,+77500,-77100,,,,,,,
-77200,1336433,20240607120000,-77300,77400,-77100,,,,,,,
-77300,2163867,20240607110000,+77600,+77600,-77200,,,,,,,
+77500,3183754,20240607100000,+77600,+77700,-77100,,,,,,,
+77500,8081876,20240607090000,+78400,+78600,+77500,,,,,,,
+77400,2218872,20240605150000,+77500,+77600,+77400,,,,,,,
+77500,2508861,20240605140000,+77300,+77600,+77100,,,,,,,
+77300,1412732,20240605130000,+77400,+77400,+77000,,,,,,,
+77300,1523344,20240605120000,+77500,+77500,+77300,,,,,,,
+77400,1762022,20240605110000,+77500,+77500,+77200,,,,,,,
+77500,3140433,20240605100000,+77200,+77600,+77100,,,,,,,
+77200,10443541,20240605090000,+78000,+78000,+76800,,,,,,,
-75300,1742357,20240604150000,-75500,-75600,-75300,,,,,,,
-75500,1753367,20240604140000,+75800,+75900,-75400,,,,,,,
75700,1050021,20240604130000,-75600,+75900,-75500,,,,,,,
-75600,878507,20240604120000,75700,+75800,-75500,,,,,,,
+75800,1027727,20240604110000,75700,+75900,-75500,,,,,,,
75700,2610795,20240604100000,-75200,+76100,-75100,,,,,,,
-75200,3955021,20240604090000,-74900,+75800,-74900,,,,,,,
+75700,1173344,20240603150000,+75700,+75800,+75500,,,,,,,
+75700,1153531,20240603140000,+76000,+76000,+75600,,,,,,,
+76000,800252,20240603130000,+76000,+76200,+75900,,,,,,,
+76000,2091275,20240603120000,+76000,+76400,+75800,,,,,,,
+75900,1391378,20240603110000,+75800,+76100,+75700,,,,,,,
+75800,2891909,20240603100000,+75600,+76100,+75500,,,,,,,
+75600,5998729,20240603090000,+74400,+75700,+74200,,,,,,,
73500,9124014,20240531150000,+73800,+73800,73500,,,,,,,
+73700,2301615,20240531140000,+74100,+74200,+73700,,,,,,,
+74100,1410177,20240531130000,+74100,+74300,+74000,,,,,,,
+74100,1338272,20240531120000,+74300,+74400,+74100,,,,,,,
+74400,1716204,20240531110000,+74200,+74400,+74000,,,,,,,
+74300,2132391,20240531100000,+74100,+74500,+74100,,,,,,,
+74100,5516007,20240531090000,+74500,+74700,+73900,,,,,,,
-73500,3783054,20240530150000,-74000,-74000,-73500,,,,,,,
-74000,4909869,20240530140000,-73600,-74200,-73600,,,,,,,
-73600,5658370,20240530130000,-74300,-74300,-73500,,,,,,,
-74200,1956135,20240530120000,-74300,-74300,-74100,,,,,,,
-74200,1999420,20240530110000,-74500,-74800,-74200,,,,,,,
-74600,2141328,20240530100000,-74400,-74700,-74300,,,,,,,
-74400,7697223,20240530090000,-74800,75200,-74300,,,,,,,
-75200,4568445,20240529150000,-75300,-75700,-75200,,,,,,,
-75400,4539645,20240529140000,-75900,-76000,-75200,,,,,,,
-75900,4037935,20240529130000,-76200,-76200,-75600,,,,,,,
-76100,4153860,20240529120000,-76600,-76700,-75800,,,,,,,
-76600,3701797,20240529110000,+77700,+77700,-76500,,,,,,,
77600,2462850,20240529100000,+77700,+77800,-77200,,,,,,,
77600,6229772,20240529090000,+77700,+78200,-77400,,,,,,,
+77600,1922618,20240528150000,+77900,+78000,+77600,,,,,,,
+77900,2370964,20240528140000,+77700,+77900,+77400,,,,,,,
+77700,1466351,20240528130000,+77800,+77900,+77600,,,,,,,
+77800,1296101,20240528120000,+77800,+77900,+77600,,,,,,,
+77800,1513104,20240528110000,+77800,+77900,+77600,,,,,,,
+77900,3187496,20240528100000,+77400,+77900,+77400,,,,,,,
+77400,6108907,20240528090000,-76500,+77500,-76200,,,,,,,
+77200,5419966,20240527150000,+77800,+78200,+77100,,,,,,,
+77900,8313798,20240527140000,-74700,+78100,-74600,,,,,,,
-74800,3170267,20240527130000,-75000,-75200,-74600,,,,,,,
-75000,2286751,20240527120000,-75000,-75400,-74900,,,,,,,
-75000,5652305,20240527110000,-74200,-75400,-74200,,,,,,,
-74300,7763308,20240527100000,-74800,-74800,-74000,,,,,,,
-74800,10976360,20240527090000,-75300,-75500,-74700,,,,,,,
-75900,3056749,20240524150000,-75900,-76000,-75800,,,,,,,
-76000,3194837,20240524140000,-75900,-76000,-75800,,,,,,,
