Date,Open,High,Low,Close,Adj Close,Volume
2022-11-03,10399.450195,10486.009766,10319.540039,10342.94043,10342.94043,5102190000
2022-11-04,10548.139648,10553.629883,10262.929688,10475.25,10475.25,5453750000
2022-11-07,10516.94043,10587.959961,10428.910156,10564.519531,10564.519531,4456690000
2022-11-08,10611.530273,10745.639648,10472.730469,10616.200195,10616.200195,5134500000
2022-11-09,10528.450195,10564.969727,10344.009766,10353.169922,10353.169922,4977460000
2022-11-10,10869.169922,11119.120117,10779.950195,11114.150391,11114.150391,6433000000
2022-11-11,11124.75,11352.429688,11069.830078,11323.330078,11323.330078,5867750000
2022-11-14,11233.900391,11350.120117,11167.169922,11196.219727,11196.219727,5004060000
2022-11-15,11474.820313,11492.620117,11241.150391,11358.410156,11358.410156,5617310000
2022-11-16,11260.099609,11286.099609,11162.919922,11183.660156,11183.660156,4585190000
2022-11-17,11008.669922,11198.839844,11006.209961,11144.959961,11144.959961,4354360000
2022-11-18,11257.009766,11259.44043,11059.160156,11146.05957,11146.05957,4175420000
2022-11-21,11091.009766,11128.780273,10999.75,11024.509766,11024.509766,3977130000
2022-11-22,11058.55957,11179.870117,10975.660156,11174.410156,11174.410156,4186360000
2022-11-23,11174.610352,11310.820313,11174.610352,11285.320313,11285.320313,4431530000
2022-11-25,11231.0,11261.570313,11206.379883,11226.360352,11226.360352,2184080000
2022-11-28,11147.570313,11217.75,11020.69043,11049.5,11049.5,4271360000
2022-11-29,11060.019531,11086.019531,10944.370117,10983.780273,10983.780273,4592830000
2022-11-30,10995.200195,11468.469727,10966.530273,11468.0,11468.0,6653460000
2022-12-01,11475.169922,11546.769531,11378.75,11482.450195,11482.450195,5158120000
2022-12-02,11308.379883,11492.320313,11296.719727,11461.5,11461.5,4523010000
2022-12-05,11380.990234,11425.509766,11193.019531,11239.94043,11239.94043,4510030000
2022-12-06,11228.419922,11241.419922,10956.200195,11014.889648,11014.889648,4713330000
2022-12-07,10963.950195,11039.80957,10910.620117,10958.549805,10958.549805,4343860000
2022-12-08,11011.330078,11119.160156,10939.469727,11082.0,11082.0,4281800000
2022-12-09,11038.169922,11138.700195,10999.259766,11004.620117,11004.620117,4337440000
2022-12-12,11015.480469,11144.669922,10984.820313,11143.740234,11143.740234,4829990000
2022-12-13,11542.839844,11571.639648,11160.540039,11256.80957,11256.80957,6126890000
2022-12-14,11248.089844,11352.089844,11065.240234,11170.889648,11170.889648,5485150000
2022-12-15,11012.620117,11029.570313,10775.610352,10810.530273,10810.530273,5536070000
2022-12-16,10767.629883,10833.240234,10642.099609,10705.410156,10705.410156,7968170000
2022-12-19,10707.44043,10713.969727,10497.549805,10546.030273,10546.030273,4631820000
2022-12-20,10490.889648,10609.459961,10446.820313,10547.110352,10547.110352,4707190000
2022-12-21,10592.0,10753.570313,10569.200195,10709.370117,10709.370117,4401420000
2022-12-22,10586.459961,10599.339844,10313.320313,10476.120117,10476.120117,5125070000
2022-12-23,10437.75,10514.759766,10361.820313,10497.860352,10497.860352,3544680000
2022-12-27,10462.19043,10472.320313,10340.730469,10353.230469,10353.230469,3827290000
2022-12-28,10339.200195,10414.820313,10207.469727,10213.290039,10213.290039,3842970000
2022-12-29,10321.459961,10502.080078,10301.05957,10478.089844,10478.089844,4154100000
2022-12-30,10368.370117,10468.30957,10324.700195,10466.480469,10466.480469,3959030000
2023-01-03,10562.05957,10613.05957,10309.160156,10386.980469,10386.980469,4780650000
2023-01-04,10467.820313,10515.219727,10337.639648,10458.759766,10458.759766,5085380000
2023-01-05,10390.30957,10393.219727,10295.25,10305.240234,10305.240234,4764270000
2023-01-06,10363.959961,10604.139648,10265.040039,10569.290039,10569.290039,5199780000
2023-01-09,10662.099609,10807.259766,10619.120117,10635.650391,10635.650391,5132190000
2023-01-10,10607.719727,10743.669922,10589.589844,10742.629883,10742.629883,4710680000
2023-01-11,10794.990234,10932.44043,10762.730469,10931.669922,10931.669922,5284390000
2023-01-12,10969.259766,11027.75,10797.120117,11001.099609,11001.099609,5681240000
2023-01-13,10906.370117,11084.009766,10900.160156,11079.160156,11079.160156,5077990000
2023-01-17,11070.0,11145.44043,11024.719727,11095.110352,11095.110352,5138410000
2023-01-18,11170.950195,11223.410156,10952.049805,10957.009766,10957.009766,5288630000
2023-01-19,10890.400391,10932.519531,10804.570313,10852.269531,10852.269531,4660800000
2023-01-20,10924.660156,11143.169922,10885.650391,11140.429688,11140.429688,5980110000
2023-01-23,11171.94043,11405.5,11144.030273,11364.410156,11364.410156,5997810000
2023-01-24,11302.929688,11378.150391,11282.650391,11334.269531,11334.269531,5670860000
2023-01-25,11146.530273,11334.219727,11069.179688,11313.360352,11313.360352,5485570000
2023-01-26,11458.400391,11516.049805,11341.19043,11512.410156,11512.410156,5732890000
2023-01-27,11470.469727,11691.889648,11470.269531,11621.709961,11621.709961,6243800000
2023-01-30,11512.339844,11553.30957,11388.540039,11393.80957,11393.80957,5122320000
2023-01-31,11398.580078,11586.009766,11398.370117,11584.549805,11584.549805,5695150000
2023-02-01,11573.139648,11904.019531,11500.330078,11816.320313,11816.320313,6336040000
2023-02-02,12065.150391,12269.549805,12024.139648,12200.820313,12200.820313,7038210000
2023-02-03,11946.860352,12231.30957,11946.860352,12006.950195,12006.950195,5954490000
2023-02-06,11904.410156,11973.410156,11843.490234,11887.450195,11887.450195,5538350000
2023-02-07,11891.25,12150.219727,11836.780273,12113.790039,12113.790039,5720240000
2023-02-08,12069.120117,12096.389648,11890.089844,11910.519531,11910.519531,5052870000
2023-02-09,12069.099609,12070.959961,11745.110352,11789.580078,11789.580078,5536290000
2023-02-10,11714.599609,11775.799805,11630.540039,11718.120117,11718.120117,4885030000
2023-02-13,11759.089844,11910.919922,11719.730469,11891.790039,11891.790039,4752880000
2023-02-14,11808.200195,11999.849609,11760.55957,11960.150391,11960.150391,5032430000
2023-02-15,11905.120117,12071.290039,11876.820313,12070.589844,12070.589844,5056640000
2023-02-16,11896.30957,12040.339844,11853.360352,11855.830078,11855.830078,5159410000
2023-02-17,11777.5,11803.219727,11673.209961,11787.269531,11787.269531,4925230000
2023-02-21,11640.370117,11684.139648,11491.179688,11492.299805,11492.299805,5002540000
2023-02-22,11517.200195,11582.519531,11445.169922,11507.070313,11507.070313,4671270000
2023-02-23,11636.929688,11638.980469,11432.580078,11590.400391,11590.400391,4714580000
2023-02-24,11404.179688,11434.360352,11334.469727,11394.94043,11394.94043,4432650000
2023-02-27,11517.19043,11565.230469,11444.599609,11466.980469,11466.980469,4494000000
2023-02-28,11451.049805,11548.230469,11435.389648,11455.540039,11455.540039,5340950000
2023-03-01,11447.580078,11479.0,11349.870117,11379.480469,11379.480469,4927530000
2023-03-02,11273.769531,11487.589844,11273.610352,11462.980469,11462.980469,5313760000
2023-03-03,11524.650391,11699.629883,11514.740234,11689.009766,11689.009766,5102210000
2023-03-06,11736.870117,11827.919922,11667.480469,11675.740234,11675.740234,4982880000
2023-03-07,11670.980469,11705.959961,11512.030273,11530.330078,11530.330078,5422820000
2023-03-08,11553.089844,11601.230469,11487.75,11576.0,11576.0,5085970000
2023-03-09,11578.30957,11667.120117,11319.980469,11338.349609,11338.349609,5061790000
2023-03-10,11325.360352,11373.80957,11093.860352,11138.889648,11138.889648,6193500000
2023-03-13,11041.459961,11326.730469,10982.799805,11188.839844,11188.839844,6201490000
2023-03-14,11357.730469,11467.019531,11284.929688,11428.150391,11428.150391,5533120000
2023-03-15,11291.169922,11447.900391,11238.44043,11434.049805,11434.049805,5912430000
2023-03-16,11384.870117,11733.799805,11365.490234,11717.280273,11717.280273,5498920000
2023-03-17,11696.339844,11773.110352,11562.629883,11630.509766,11630.509766,7903090000
2023-03-20,11614.389648,11695.549805,11550.69043,11675.540039,11675.540039,4970630000
2023-03-21,11764.790039,11879.160156,11724.910156,11860.110352,11860.110352,4829870000
2023-03-22,11857.5,12013.990234,11666.849609,11669.959961,11669.959961,4981590000
2023-03-23,11811.320313,11962.69043,11684.519531,11787.400391,11787.400391,4917460000
2023-03-24,11747.620117,11826.230469,11670.669922,11823.959961,11823.959961,4363650000
2023-03-27,11868.540039,11903.209961,11739.049805,11768.839844,11768.839844,4330320000
2023-03-28,11752.759766,11752.759766,11635.030273,11716.080078,11716.080078,4036910000
2023-03-29,11855.589844,11941.599609,11823.349609,11926.240234,11926.240234,4493540000
2023-03-30,12010.450195,12044.790039,11953.370117,12013.469727,12013.469727,4738880000
2023-03-31,12031.540039,12227.929688,12030.44043,12221.910156,12221.910156,5521150000
2023-04-03,12146.089844,12196.339844,12086.519531,12189.450195,12189.450195,4816440000
2023-04-04,12208.490234,12224.679688,12081.80957,12126.330078,12126.330078,4298760000
2023-04-05,12081.759766,12086.75,11931.849609,11996.860352,11996.860352,4378590000
2023-04-06,11939.080078,12098.5,11898.360352,12087.959961,12087.959961,3862800000
2023-04-10,11975.129883,12084.950195,11924.200195,12084.360352,12084.360352,4334070000
2023-04-11,12080.240234,12091.269531,12011.400391,12031.879883,12031.879883,4676960000
2023-04-12,12110.870117,12134.5,11916.540039,11929.339844,11929.339844,4909770000
2023-04-13,11997.419922,12178.799805,11995.94043,12166.269531,12166.269531,4942990000
