Date,Open,High,Low,Close,Adj Close,Volume
2022-11-03,31985.050781,32185.710938,31727.050781,32001.25,32001.25,354440000
2022-11-04,32265.009766,32611.519531,31938.919922,32403.220703,32403.220703,422370000
2022-11-07,32454.099609,32895.589844,32424.990234,32827.0,32827.0,336300000
2022-11-08,32934.558594,33355.390625,32831.460938,33160.828125,33160.828125,335340000
2022-11-09,33004.46875,33065.109375,32478.869141,32513.939453,32513.939453,355200000
2022-11-10,33263.910156,33727.730469,33167.820313,33715.371094,33715.371094,480130000
2022-11-11,33797.75,33817.960938,33394.429688,33747.859375,33747.859375,427790000
2022-11-14,33662.050781,33964.300781,33533.960938,33536.699219,33536.699219,354340000
2022-11-15,33755.941406,33987.058594,33320.199219,33592.921875,33592.921875,390610000
2022-11-16,33554.929688,33682.828125,33516.988281,33553.828125,33553.828125,301560000
2022-11-17,33329.269531,33616.019531,33239.75,33546.320313,33546.320313,319210000
2022-11-18,33606.589844,33827.941406,33540.640625,33745.691406,33745.691406,312950000
2022-11-21,33760.300781,33864.589844,33559.179688,33700.28125,33700.28125,352960000
2022-11-22,33810.050781,34115.699219,33810.050781,34098.101563,34098.101563,277070000
2022-11-23,34091.570313,34262.070313,34004.640625,34194.058594,34194.058594,236820000
2022-11-25,34213.039063,34386.511719,34199.570313,34347.03125,34347.03125,131660000
2022-11-28,34275.910156,34303.878906,33799.351563,33849.460938,33849.460938,300330000
2022-11-29,33847.800781,33933.910156,33662.449219,33852.53125,33852.53125,279750000
2022-11-30,33795.429688,34589.769531,33583.769531,34589.769531,34589.769531,524440000
2022-12-01,34533.589844,34595.511719,34129.351563,34395.011719,34395.011719,348720000
2022-12-02,34265.449219,34483.210938,34039.730469,34429.878906,34429.878906,290580000
2022-12-05,34335.730469,34335.730469,33846.808594,33947.101563,33947.101563,312960000
2022-12-06,33936.871094,34006.628906,33418.589844,33596.339844,33596.339844,306220000
2022-12-07,33556.398438,33774.269531,33503.671875,33597.921875,33597.921875,359980000
2022-12-08,33695.96875,33899.171875,33642.460938,33781.480469,33781.480469,271830000
2022-12-09,33746.710938,33844.628906,33462.648438,33476.460938,33476.460938,287630000
2022-12-12,33519.5,34005.039063,33519.5,34005.039063,34005.039063,313440000
2022-12-13,34268.441406,34712.28125,33890.878906,34108.640625,34108.640625,442650000
2022-12-14,34086.070313,34395.648438,33704.171875,33966.351563,33966.351563,339090000
2022-12-15,33773.0,33773.0,33016.160156,33202.21875,33202.21875,394290000
2022-12-16,33166.460938,33166.460938,32654.589844,32920.460938,32920.460938,756310000
2022-12-19,32921.449219,33038.941406,32581.970703,32757.539063,32757.539063,326430000
2022-12-20,32735.240234,32992.230469,32649.449219,32849.738281,32849.738281,303970000
2022-12-21,33028.089844,33437.839844,33028.089844,33376.480469,33376.480469,328020000
2022-12-22,33233.351563,33233.351563,32573.429688,33027.488281,33027.488281,340640000
2022-12-23,32961.058594,33226.140625,32814.019531,33203.929688,33203.929688,221050000
2022-12-27,33224.230469,33387.71875,33069.578125,33241.558594,33241.558594,246010000
2022-12-28,33264.761719,33379.550781,32869.148438,32875.710938,32875.710938,252260000
2022-12-29,33021.429688,33293.421875,33020.351563,33220.800781,33220.800781,243060000
2022-12-30,33121.609375,33152.550781,32847.820313,33147.25,33147.25,295500000
2023-01-03,33148.898438,33387.519531,32850.570313,33136.371094,33136.371094,355930000
2023-01-04,33165.140625,33409.101563,33033.480469,33269.769531,33269.769531,379400000
2023-01-05,33191.71875,33191.71875,32812.328125,32930.078125,32930.078125,337920000
2023-01-06,33055.300781,33710.660156,32997.390625,33630.609375,33630.609375,360740000
2023-01-09,33664.390625,33935.109375,33487.660156,33517.648438,33517.648438,327840000
