,다우존스,다우존스,다우존스,다우존스,다우존스,다우존스,나스닥,나스닥,나스닥,나스닥,나스닥,나스닥,S&P500,S&P500,S&P500,S&P500,S&P500,S&P500,VIX지수,VIX지수,VIX지수,VIX지수,VIX지수,VIX지수,항셍지수,항셍지수,항셍지수,항셍지수,항셍지수,항셍지수,닛케이,닛케이,닛케이,닛케이,닛케이,닛케이,FTSE100,FTSE100,FTSE100,FTSE100,FTSE100,FTSE100,CAC 40,CAC 40,CAC 40,CAC 40,CAC 40,CAC 40,달러인덱스,달러인덱스,달러인덱스,달러인덱스,달러인덱스,달러인덱스
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
2020-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02 00:00:00,28638.970703,28872.800781,28627.769531,28868.800781,28868.800781,251820000.0,9039.459961,9093.429688,9010.889648,9092.19043,9092.19043,2862700000.0,3244.669922,3258.139893,3235.530029,3257.850098,3257.850098,3459930000.0,13.46,13.72,12.42,12.47,12.47,0.0,28249.369141,28543.519531,28245.970703,28543.519531,28543.519531,1262732800.0,,,,,,,7542.399902,7624.799805,7542.399902,7604.299805,7604.299805,482206700.0,6016.609863,6062.919922,6011.209961,6041.5,6041.5,63958300.0,96.480003,96.870003,96.43,96.849998,96.849998,0.0
2020-01-03 00:00:00,28553.330078,28716.310547,28500.359375,28634.880859,28634.880859,239590000.0,8976.429688,9065.759766,8976.429688,9020.769531,9020.769531,2586520000.0,3226.360107,3246.149902,3222.340088,3234.850098,3234.850098,3484700000.0,15.01,16.200001,13.13,14.02,14.02,0.0,28828.359375,28883.300781,28428.169922,28451.5,28451.5,1797904800.0,,,,,,,7604.299805,7626.399902,7551.0,7622.399902,7622.399902,475628900.0,6007.959961,6044.160156,5994.589844,6044.160156,6044.160156,60488000.0,96.790001,97.110001,96.709999,96.839996,96.839996,0.0
2020-01-06 00:00:00,28465.5,28708.019531,28418.630859,28703.380859,28703.380859,252760000.0,8943.5,9072.410156,8943.5,9071.469727,9071.469727,2810450000.0,3217.550049,3246.840088,3214.639893,3246.280029,3246.280029,3702460000.0,15.45,16.389999,13.54,13.85,13.85,0.0,28326.5,28367.869141,28054.289063,28226.189453,28226.189453,1793426600.0,23319.759766,23365.359375,23148.529297,23204.859375,23204.859375,72800000.0,7622.399902,7622.399902,7528.100098,7575.299805,7575.299805,516783400.0,6001.209961,6017.970215,5955.25,6013.589844,6013.589844,69063700.0,96.900002,96.900002,96.540001,96.669998,96.669998,0.0
2020-01-07 00:00:00,28639.179688,28685.5,28565.279297,28583.679688,28583.679688,258900000.0,9076.639648,9091.929688,9042.549805,9068.580078,9068.580078,2381740000.0,3241.860107,3244.909912,3232.429932,3237.179932,3237.179932,3435910000.0,13.84,14.46,13.39,13.79,13.79,0.0,28352.679688,28473.080078,28264.070313,28322.060547,28322.060547,1302687200.0,23320.119141,23577.439453,23299.919922,23575.720703,23575.720703,64300000.0,7575.299805,7604.600098,7562.100098,7573.899902,7573.899902,511576100.0,6033.220215,6065.740234,6000.0,6012.350098,6012.350098,69593800.0,96.650002,97.089996,96.620003,96.980003,96.980003,0.0
2020-01-08 00:00:00,28556.140625,28866.179688,28522.509766,28745.089844,28745.089844,291750000.0,9068.030273,9168.889648,9059.379883,9129.240234,9129.240234,2472620000.0,3238.590088,3267.070068,3236.669922,3253.050049,3253.050049,3726840000.0,15.16,15.24,12.83,13.45,13.45,0.0,27999.580078,28198.609375,27857.730469,28087.919922,28087.919922,1709241600.0,23217.490234,23303.210938,22951.179688,23204.759766,23204.759766,79400000.0,7573.899902,7579.5,7525.0,7574.899902,7574.899902,606225000.0,5986.810059,6031.0,5972.77002,6031.0,6031.0,71431600.0,96.830002,97.330002,96.82,97.300003,97.300003,0.0
2020-01-09 00:00:00,28851.970703,28988.009766,28844.310547,28956.900391,28956.900391,275060000.0,9202.269531,9215.950195,9158.5,9203.429688,9203.429688,2540960000.0,3266.030029,3275.580078,3263.669922,3274.699951,3274.699951,3641230000.0,12.95,13.24,12.53,12.54,12.54,0.0,28367.650391,28561.0,28325.859375,28561.0,28561.0,1692786200.0,23530.289063,23767.089844,23506.150391,23739.869141,23739.869141,62200000.0,7574.899902,7627.799805,7574.899902,7598.100098,7598.100098,653838100.0,6066.75,6071.660156,6034.149902,6042.549805,6042.549805,67961100.0,97.269997,97.559998,97.25,97.449997,97.449997,0.0
2020-01-10 00:00:00,28977.519531,29009.070313,28789.099609,28823.769531,28823.769531,237830000.0,9232.950195,9235.200195,9164.660156,9178.860352,9178.860352,2382900000.0,3281.810059,3282.98999,3260.860107,3265.350098,3265.350098,3214580000.0,12.42,12.87,12.09,12.56,12.56,0.0,28665.140625,28665.140625,28504.269531,28638.199219,28638.199219,1448401000.0,23813.279297,23903.289063,23761.080078,23850.570313,23850.570313,55900000.0,7598.100098,7632.0,7585.100098,7587.899902,7587.899902,651315600.0,6056.740234,6057.830078,6028.290039,6037.109863,6037.109863,64393300.0,97.43,97.580002,97.300003,97.360001,97.360001,0.0
2020-01-13 00:00:00,28869.009766,28909.910156,28819.429688,28907.050781,28907.050781,249830000.0,9213.719727,9274.490234,9193.05957,9273.929688,9273.929688,2536820000.0,3271.129883,3288.129883,3268.429932,3288.129883,3288.129883,3459390000.0,12.84,13.09,12.32,12.32,12.32,0.0,28772.369141,28971.400391,28671.839844,28954.939453,28954.939453,1765055700.0,23813.279297,23903.289063,23761.080078,23850.570313,23850.570313,55900000.0,7587.899902,7635.799805,7582.5,7617.600098,7617.600098,659019400.0,6040.910156,6058.689941,6018.330078,6036.140137,6036.140137,65192400.0,97.349998,97.529999,97.309998,97.349998,97.349998,0.0
