Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1995-10-05,70054,340321,,,,,,,,,,,,,,,,,340321.0,0.0,,
1995-10-06,74199,340321,,,,,,,,,,,,,,,,,680642.0,0.0,,
1995-10-07,78344,340321,,,,,,,,,,,,,,,,,1020963.0,0.0,,
1995-10-09,82904,340321,,,,,,,,,,,,,,,,,1361284.0,0.0,,
1995-10-10,87878,340321,,,,,,,,,,,,,,,,,1701605.0,0.0,,
1995-10-11,92852,340321,,,,,,,,,,,,,,,,,2041926.0,0.0,,
1995-10-12,98241,340321,,,,,,,,,,,,,,,,,2382247.0,0.0,,
1995-10-13,104045,340321,,,,,,,,,,,,,,,,,2722568.0,0.0,,
1995-10-14,110262,12622,,,,,,,,,,,,,,,,,2735190.0,0.0,,
1995-10-16,116480,10101,,,,,,,,,,,,,,,,,2745291.0,0.0,,
1995-10-17,123112,31600,,,,,,,,,,,,,,,,,2776891.0,0.0,,
1995-10-18,130159,191788,,,,,,,,,,,,,,,,,2968679.0,191788.0,,
1995-10-19,128501,32088,,,,,,,,,,,,,,,,,2936591.0,204997.49169859514,,
1995-10-20,121040,6750,,,,,,,,,,80.9639133369698,,,,,,,2929841.0,198247.49169859514,,
1995-10-21,120211,12716,,,,,62.51369931299526,17.226461758963264,,,,62.119584675975645,,,,,,,2917125.0,198247.49169859514,,
1995-10-23,114822,9329,,,,,55.921596802188134,18.92550514511211,,,78.56845197650392,37.38771767036739,,,,,,,2907796.0,191788.686911065,,
1995-10-24,119382,13529,,,,,52.289240080314684,17.229726060081738,,,75.99358246691882,39.623423986775414,,,,,,,2921325.0,201155.30390865266,,
1995-10-25,117309,17536,,,,,50.748392431807595,16.039285164567275,,75.4422920227431,71.76484162480655,34.94349310798739,,,,,,,2903789.0,183619.30390865266,,
1995-10-26,120625,4514,,,,,47.23385976323989,14.928499403873627,,73.59490891107555,73.02630264150129,35.282684334192325,,,,,,,2908303.0,186327.70390865265,,
1995-10-27,118967,6994,,,,,45.21073441883833,14.289080443635163,,71.22579010549974,68.88622605019138,23.361895080322594,,,143532.39889927433,106469.35,69406.30110072569,,2901309.0,181662.22501842346,,
1995-10-28,120211,6851,,,,,42.59126510562757,15.634773888293417,72.70955972241939,69.37798178979085,66.22141667767988,7.088339335224327,71.59762468952522,50157.0,142459.4847643347,108977.2,75494.9152356653,5352.9726281267895,2908160.0,186802.54106184928,-97.98690060266631,
1995-10-30,117724,4422,,,,,39.22556108304442,17.272522749975384,69.28221545948455,63.01095688466569,53.92522792612579,-54.00395215553341,58.65982021321042,43525.0,140742.5662387456,111153.45,81564.33376125438,5292.847781003983,2903738.0,189752.31910768762,-98.70063851481396,
1995-10-31,114822,2704,,,,,36.93953506453523,18.450480907212953,65.4904438854245,51.457069363312144,34.22456348613077,-102.91388806203318,46.56131930971102,36478.0,138464.77836988465,112977.35,87489.92163011538,5146.732052255308,2901034.0,187820.09159993168,-99.20545602534078,
1995-11-01,116066,3389,,,,,36.08979334415073,18.02605370853202,66.322139217386,35.40980428939809,18.079621455937716,-97.40260310160548,40.00048248576667,33162.0,136074.63137872805,114635.45,93196.26862127194,4865.004574539847,2904423.0,191209.09159993168,-99.00417546963014,
1995-11-02,116066,3549,,,,,36.24443185325431,17.3114068562081,66.32213921738598,20.76853072508234,10.001407233178538,-83.30596656216127,32.076287580509344,28188.0,133620.68378704975,116044.85,98469.01621295026,4667.832166871144,2904423.0,191919.57640456266,-98.95716103325978,
1995-11-03,115651,1925,6579.733949027461,,,,35.93726852327067,17.164696613978798,65.7365242954457,13.249667357435284,11.667973383189596,-81.23084149463351,24.554129151768407,22799.0,131190.56148019093,117184.8,103179.03851980908,4373.563498119414,2902498.0,189994.57640456266,-99.43435756241901,
1995-11-04,114822,719,6044.396839183653,,,,35.29381411288319,18.647857229399705,64.53825710038865,10.46399232917063,9.722596371143755,-93.60853549076211,16.87788194338413,16581.0,129093.34060697287,118013.85,106934.35939302715,4132.92125713742,2901779.0,189275.57640456266,-99.78872887656065,
1995-11-06,113164,10176,5423.829054101647,,,39.20310889372223,33.98326733130653,21.668663893745375,62.15310461386938,8.98191519463112,5.555175829560014,-128.74074354174928,8.764476909029748,9119.0,127829.39429889992,118469.8,109110.20570110009,3967.8507745818197,2891603.0,179099.57640456266,-97.00988184684459,42.76952840326754
1995-11-07,111091,4769,4710.451683406616,,,35.75173940856406,31.466639592504812,27.46948378962388,59.27022401249331,7.023269420946583,5.792036062135982,-181.56706696882603,0.7518456041065825,829.0,127731.3842045547,118511.25,109291.1157954453,3925.088129063932,2886834.0,177905.88822603432,-62.21676437965457,40.43410002058432
1995-11-08,111506,3908,4130.962841028377,,,32.58925109430649,29.972319407139224,27.115681585726417,59.66447854424967,6.8884927594609175,9.318266386686759,-160.6807121051561,-4.270260989010989,-4974.0,127945.16215736745,118262.55,108579.93784263256,3805.454156239574,2890742.0,181813.88822603432,-61.31076131076131,52.69941931364209
1995-11-09,106946,4241,3266.1101828570827,,,30.152915802006458,26.45512281301455,31.154461529710083,53.65709986566463,8.743437298983777,11.120009448128586,-203.08128711993675,-13.131132627201248,-16166.0,128039.57051238883,117454.25,106868.92948761117,3906.2705558183643,2886501.0,180400.22155936767,-86.57911392405063,40.46426323521185
1995-11-10,108604,3271,2683.5605483028485,,,28.71264178142034,23.89995479302571,32.535057338264465,55.376697909273815,12.239164707094753,16.27921828646891,-154.19957857355627,-16.56051444771395,-21555.0,125904.67299381156,116376.5,106848.32700618844,3947.2663503617055,2889772.0,183671.22155936767,-98.29447097837195,51.37195878955681
1995-11-11,109848,3604,2295.8015976030583,,,26.92237120502131,24.428031648865975,29.724077726698958,56.64719360788889,16.437317040524075,21.912723386974722,-103.3775674110223,-14.515840343654913,-18653.0,123594.32844669257,115443.85,107293.37155330744,3959.5283165082465,2893376.0,187275.22155936767,-88.7683869359262,58.092081906283624
1995-11-13,107775,1387,1800.471347366998,-2303.452879619417,4103.924226986415,25.338035613902907,22.348615439421625,27.193839927594468,53.952683238226825,21.933972257265065,27.60997509835155,-107.17254258681416,-10.959187045604759,-13265.0,123157.32786713286,114780.6,106403.87213286715,3970.893363868102,2891989.0,188662.22155936767,-79.45185185185186,58.65337530658657
1995-11-14,105288,938,1193.4807370981143,-2328.354791910641,3521.835529008755,24.221142568598783,21.001190029666756,27.277193333692928,50.895418628787816,23.781155354371435,21.820767577788036,-121.210244766672,-12.414005373884253,-14923.0,122982.44712729055,114034.45,105086.45287270944,3906.0651235352916,2891051.0,189600.22155936767,-92.62346649889902,55.976453004456026
1995-11-15,99070,3312,208.2945810515521,-2650.832758365763,2859.127339417315,24.86285697215334,18.43553880580353,35.3481180014533,44.29030916235431,19.956577099777714,10.438988623193547,-158.72174036122934,-13.71862535054258,-15752.0,124303.44546650778,113246.85,102190.25453349223,4044.6841912017853,2887739.0,186288.22155936767,-64.49780255118448,47.63255688593423
1995-11-16,99485,7623,-532.8432287405012,-2713.576454526253,2180.733225785752,26.050676040465067,17.226866714399684,38.76631478425622,44.79365226178892,13.510942019649194,8.273069857966,-162.47835175718447,-16.666666666666668,-19897.0,124443.76308824938,112252.0,100060.23691175062,4001.4245018188785,2895362.0,193911.22155936767,-43.65437208958534,50.64533442963846
1995-11-17,105288,1575,-644.5170885064581,-2260.2002514337682,1615.6831629273101,24.966560735588086,26.329536597815526,34.50313237143029,51.2736930033539,12.90369783654207,19.99903502846666,-79.11388843702764,-10.247295603917857,-12021.0,123970.80601336315,111650.95,99331.09398663684,4107.385850148402,2896937.0,195486.22155936767,-91.01847627737226,60.77561167480474
1995-11-18,106532,159857,-625.4294619583379,-1792.8900999085186,1167.4606379501806,23.137235728202988,29.970044395979752,32.061811750949374,52.531004723299176,21.87740537468103,37.36011123761042,-25.978514916497783,-11.683316062176166,-14093.0,122733.01883265229,110946.3,99159.58116734771,4085.4418213990984,3056794.0,213267.15294505516,3441.3602126716883,56.68533124046909
